water,iodine,calcium,percent_water,percent_iodine,percent_calcium,low_energy,high_energy,density_iodine (mg/mL),density_calcium (mg/mL)
0.99,0,0,100,0,0,-5.3,-1.9,4930,3180
0,2,0,99.95943205,0.04056795132,0,36,24.8,4930,3180
0,2.5,0,99.94929006,0.05070993915,0,97.4,43.9,4930,3180
0,5,0,99.89858012,0.1014198783,0,173.9,99.8,4930,3180
0,7.5,0,99.84787018,0.1521298174,0,205.5,134.6,4930,3180
0,10,0,99.79716024,0.2028397566,0,295.7,179.2,4930,3180
0,15,0,99.69574037,0.3042596349,0,364.8,243.6,4930,3180
0,20,0,99.59432049,0.4056795132,0,539.8,338.4,4930,3180
0,0,50,98.42767296,0,1.572327044,194.9,175.1,4930,3180
0,0,100,96.85534591,0,3.144654088,354.1,291,4930,3180
0,0,200,93.71069182,0,6.289308176,661.7,517.7,4930,3180
0,0,300,90.56603774,0,9.433962264,839.9,729.1,4930,3180
0,0,400,87.42138365,0,12.57861635,1174.6,919,4930,3180
0,0,500,84.27672956,0,15.72327044,1368.6,1130.7,4930,3180
0,0,600,81.13207547,0,18.86792453,1563.9,1328.7,4930,3180
